product_name,volume,past_sales,storage_days,profit
Product_162,94,714,46,821.16
Product_163,23,194,58,132.54
Product_164,15,274,50,90.25
Product_165,43,552,15,128.9
Product_166,29,870,34,147.41
Product_167,36,665,42,257.29
Product_168,13,153,55,107.16
Product_169,32,996,44,119.61
Product_170,71,88,49,220.28
Product_171,59,996,40,430.96
Product_172,86,247,11,173.29
Product_173,28,695,3,95.96
Product_174,66,628,59,147.35
Product_175,42,440,6,140.07
Product_176,45,228,9,155.27
Product_177,62,603,6,316.29
Product_178,57,497,9,297.46
Product_179,6,549,39,53.96
Product_180,28,64,31,170.26
Product_181,28,672,32,218.04
Product_182,44,718,41,124.66
Product_183,84,338,50,319.49
Product_184,30,527,12,228.71
Product_185,62,280,8,150.19
Product_186,75,972,8,441.96
Product_187,92,469,50,625.14
Product_188,89,206,28,606.73
Product_189,62,599,20,135.37
Product_190,97,490,47,443.96
Product_191,1,146,59,7.09
Product_192,27,460,7,86.18
Product_193,62,338,11,468.93
Product_194,77,303,20,613.49
Product_195,3,245,16,29.57
Product_196,70,647,4,257.51
Product_197,72,883,6,619.28
Product_198,27,571,58,166.38
Product_199,9,566,22,44.89
Product_200,62,684,26,184.7
Product_201,37,891,3,291.71
Product_202,97,914,41,377.03
Product_203,51,167,42,253.54
Product_204,44,855,14,110.01
Product_205,24,958,11,201.86
Product_206,79,208,18,642.48
Product_207,59,864,54,464.27
Product_208,32,277,12,140.66
Product_209,96,926,23,325.23
Product_210,88,265,12,624.84
Product_211,52,997,13,310.41
Product_212,62,745,25,212.41
Product_213,58,64,45,434.26
Product_214,52,206,51,516.31
Product_215,12,697,58,95.73
Product_216,39,310,19,308.88
Product_217,2,206,55,19.21
Product_218,3,96,46,10.87
Product_219,56,373,36,365.37
Product_220,81,893,45,796.81
Product_221,59,734,8,196.02
Product_222,2,179,29,15.2
Product_223,2,460,55,13.37
Product_224,92,144,53,615.65
Product_225,54,676,55,409.39
Product_226,87,804,32,821.01
Product_227,96,981,51,793.02
Product_228,97,341,44,237.56
Product_229,1,843,18,8.82
Product_230,19,860,6,72.28
Product_231,2,332,18,10.03
Product_232,53,118,19,301.77
Product_233,44,709,22,257.28
Product_234,90,60,37,493.33
Product_235,32,303,32,303.96
Product_236,70,891,56,535.37
Product_237,32,921,41,225.58
Product_238,68,599,59,163.11
Product_239,55,183,3,507.72
Product_240,75,761,28,695.63
Product_241,56,72,10,461.54
Product_242,17,864,51,34.96
Product_243,38,395,35,93.41
Product_244,24,351,29,91.24
Product_245,69,412,54,210.5
Product_246,98,445,15,508.69
Product_247,70,267,33,656.67
Product_248,86,190,7,496.78
Product_249,11,665,12,23.18
Product_250,16,259,49,68.19
Product_251,97,672,30,228.61
Product_252,73,665,21,167.19
Product_253,59,877,31,248.14
Product_254,70,732,58,294.34
Product_255,80,509,24,663.76
Product_256,93,405,20,911.28
Product_257,3,373,37,14.91
Product_258,20,182,4,108.62
Product_259,59,937,28,516.74
Product_260,36,854,44,149.22
Product_261,19,889,20,61.77
Product_262,90,176,24,794.22
Product_263,67,155,50,158.92
Product_264,19,653,49,132.19
Product_265,20,848,51,129.92
Product_266,96,427,32,457.67
Product_267,71,954,41,321.03
Product_268,52,100,36,425.09
Product_269,33,78,58,88.82
Product_270,40,511,53,155.77
Product_271,39,345,34,306.52
Product_272,82,346,36,523.7
Product_273,1,775,2,3.02
Product_274,11,828,15,99.63
Product_275,92,456,34,473.58
Product_276,57,818,36,491.51
Product_277,89,863,6,738.85
Product_278,50,662,39,349.77
Product_279,23,454,42,136.98
Product_280,31,395,51,304.93
Product_281,94,671,51,297.01
Product_282,42,469,58,327.65
Product_283,99,231,54,349.42
Product_284,7,874,12,32.94
Product_285,16,50,3,71.51
Product_286,90,880,45,861.87
Product_287,60,999,18,584.33
Product_288,2,616,40,6.93
Product_289,1,420,21,2.18
Product_290,48,985,15,372.48
Product_291,12,960,33,64.13
Product_292,69,710,35,187.04
Product_293,37,480,26,276.39
Product_294,32,358,8,203.55
Product_295,9,186,36,88.6
Product_296,99,251,48,378.11
Product_297,19,485,30,99.4
Product_298,48,362,23,304.34
Product_299,80,166,42,666.69
Product_300,3,715,44,19.17
Product_301,20,986,14,138.06
Product_302,24,852,14,91.42
Product_303,54,624,2,473.87
Product_304,33,293,55,179.16
Product_305,24,586,37,75.06
Product_306,75,651,5,548.51
Product_307,72,124,38,268.47
Product_308,36,855,45,100.1
Product_309,38,435,41,338.04
Product_310,84,952,54,477.23
Product_311,99,259,47,791.43
Product_312,89,524,14,384.9
Product_313,99,467,56,821.28
Product_314,25,396,39,72.39
Product_315,93,578,25,450.84
Product_316,18,689,20,176.84
Product_317,82,988,2,684.86
Product_318,66,925,39,394.55
Product_319,54,812,6,254.78
Product_320,35,228,17,314.2
Product_321,80,231,59,508.7
Product_322,61,713,25,492.11
Product_323,41,74,57,329.35
Product_324,33,229,28,70.74
Product_325,68,759,2,204.68
Product_326,33,550,35,240.14
Product_327,14,905,37,46.1
Product_328,21,210,5,84.92
Product_329,48,226,1,459.51
Product_330,20,334,40,129.63
Product_331,8,112,12,64.05
Product_332,7,711,56,45.25
Product_333,67,715,36,430.15
Product_334,17,205,45,46.8
Product_335,33,931,23,156.73
Product_336,48,518,47,204.45
Product_337,76,98,31,389.56
Product_338,59,898,11,494.82
Product_339,86,133,10,427.89
Product_340,22,410,3,123.5
Product_341,30,738,54,155.37
Product_342,38,197,14,104.4
Product_343,51,679,16,281.96
Product_344,54,391,10,192.5
Product_345,8,525,29,27.95
Product_346,27,112,10,74.31
Product_347,27,750,12,131.04
Product_348,98,409,30,789.87
Product_349,21,610,41,88.44
Product_350,30,376,1,134.96
Product_351,97,818,5,692.72
Product_352,28,785,20,99.87
Product_353,64,190,8,587.24
Product_354,97,264,43,597.67
Product_355,69,484,12,385.08
Product_356,61,940,1,394.22
Product_357,48,772,57,159.76
Product_358,19,367,54,131.25
Product_359,4,81,20,19.62
Product_360,35,719,28,321.21
Product_361,64,334,57,214.45
Product_362,49,354,43,296.76
Product_363,17,478,37,115.34
Product_364,44,526,47,99.75
Product_365,92,335,37,451.68
Product_366,30,193,12,235.83
Product_367,93,473,37,796.36
Product_368,46,68,49,207.24
Product_369,6,67,49,50.33
Product_370,99,818,56,964.46
Product_371,37,639,44,327.63
Product_372,24,420,56,70.59
Product_373,93,224,28,736.36
Product_374,46,243,47,209.64
Product_375,53,551,15,525.09
Product_376,95,162,6,558.87
Product_377,99,163,44,294.97
Product_378,60,271,59,468.09
Product_379,97,727,20,444.66
Product_380,63,996,50,628.53
Product_381,85,880,14,836.25
Product_382,32,693,2,231.97
Product_383,87,946,9,264.36
Product_384,33,313,37,247.33
Product_385,67,974,20,183.86
Product_386,18,104,26,40.23
Product_387,25,920,29,214.59
Product_388,95,692,1,349.41
Product_389,54,849,55,271.74
Product_390,58,827,35,567.68
Product_391,67,507,6,314.55
Product_392,46,927,37,201.11
Product_393,24,211,53,224.3
Product_394,32,429,59,92.35
Product_395,47,136,5,379.6
Product_396,86,104,33,851.79
Product_397,23,525,49,211.84
Product_398,66,849,51,476.08
Product_399,27,227,14,121.84
Product_400,2,440,12,8.07
Product_401,90,398,42,769.86
Product_402,17,57,20,153.66
Product_403,33,882,53,204.71
Product_404,9,362,50,35.59
Product_405,43,808,24,124.85
Product_406,48,884,59,129.48
Product_407,39,492,43,302.35
Product_408,93,816,34,498.57
Product_409,42,377,25,388.2
Product_410,26,103,50,205.85
Product_411,99,810,29,349.48
Product_412,50,288,57,345.51
Product_413,25,278,39,137.1
Product_414,24,628,31,158.83
Product_415,13,100,56,102.76
Product_416,60,658,47,506.97
Product_417,7,653,43,61.25
Product_418,57,313,50,229.81
Product_419,36,467,23,80.96
Product_420,45,852,44,356.15
Product_421,20,145,38,57.01
Product_422,65,137,20,293.76
Product_423,8,127,23,16.24
Product_424,16,337,45,119.25
Product_425,14,169,52,46.72
Product_426,76,863,16,550.41
Product_427,87,540,50,864.25
Product_428,15,961,42,38.72
Product_429,92,501,55,240.73
Product_430,98,549,8,462.86
Product_431,66,214,50,589.45
Product_432,32,231,21,119.18
Product_433,87,518,1,424.82
Product_434,63,959,55,160.53
Product_435,86,784,8,697.05
Product_436,51,872,29,268.59
Product_437,25,993,32,201.85
Product_438,58,56,38,535.27
Product_439,63,379,5,243.31
Product_440,62,824,47,524.47
Product_441,22,722,22,54.4
Product_442,58,200,47,533.07
Product_443,58,134,34,417.96
Product_444,86,196,1,773.47
Product_445,49,673,55,98.07
Product_446,52,430,55,174.34
Product_447,42,964,26,214.96
Product_448,70,597,43,352.52
Product_449,15,334,10,57.21
Product_450,54,749,30,272.86
Product_451,60,131,50,181.85
Product_452,97,563,18,514.3
Product_453,8,946,17,67.35
Product_454,53,864,26,309.13
Product_455,60,758,8,128.64
Product_456,5,965,47,26.86
Product_457,68,572,40,150.78
Product_458,6,795,49,58.38
Product_459,96,435,12,289.88
Product_460,94,756,27,720.18
Product_461,47,520,8,459.76
Product_462,99,168,25,852.22
Product_463,55,445,46,417.7
Product_464,40,581,4,348.63
Product_465,52,310,33,512.43
Product_466,16,854,1,111.53
Product_467,13,983,19,84.16
Product_468,30,305,31,210.78
Product_469,19,783,16,118.97
Product_470,17,954,14,120.37
Product_471,63,275,53,352.72
Product_472,19,102,48,71.2
Product_473,92,989,5,272.5
Product_474,58,916,41,147.71
Product_475,55,549,26,225.86
Product_476,90,555,28,213.21
Product_477,90,903,2,588.36
Product_478,62,413,50,264.78
Product_479,23,329,6,197.71
Product_480,9,642,9,23.35
Product_481,12,763,33,45.73
Product_482,1,207,41,7.84
Product_483,58,681,25,393.85
Product_484,1,108,48,2.52
Product_485,34,776,13,306.61
Product_486,96,177,9,865.74
Product_487,48,785,53,222.88
Product_488,89,770,13,420.37
Product_489,1,931,31,9.91
Product_490,16,164,41,112.15
Product_491,61,258,11,381.28
Product_492,64,575,4,557.13
Product_493,63,570,34,269.79
Product_494,69,601,38,374.91
Product_495,22,286,46,91.13
Product_496,93,330,4,773.14
Product_497,67,408,38,441.32
Product_498,76,250,19,552.57
Product_499,26,807,6,104.48
Product_500,16,327,34,60.19
Product_501,51,284,18,301.26
Product_502,86,543,13,679.45
Product_503,57,53,41,353.51
Product_504,29,715,23,65.57
Product_505,78,491,19,697.98
Product_506,92,78,45,231.61
Product_507,69,158,11,665.62
Product_508,47,659,1,103.45
Product_509,94,776,24,710.23
Product_510,62,854,54,164.77
Product_511,69,124,7,640.69
Product_512,76,887,25,434.38
Product_513,16,195,21,49.6
Product_514,90,177,15,425.39
Product_515,90,902,1,298.67
Product_516,48,91,12,161.5
Product_517,85,405,58,814.71
Product_518,39,90,7,216.92
Product_519,33,983,15,274.24
Product_520,94,83,21,668.98
Product_521,23,66,19,170.46
Product_522,10,726,29,30.54
Product_523,69,202,25,267.27
Product_524,34,427,33,282.0
Product_525,52,637,49,507.84
Product_526,95,648,32,389.63
Product_527,10,678,49,41.73
Product_528,19,923,35,109.88
Product_529,58,391,44,572.5
Product_530,96,76,38,398.56
Product_531,1,874,26,5.26
Product_532,69,336,11,630.1
Product_533,4,695,35,8.09
Product_534,16,780,8,37.09
Product_535,24,217,46,163.98
Product_536,80,659,14,740.72
Product_537,2,317,10,7.82
Product_538,92,798,2,529.66
Product_539,32,870,46,179.32
Product_540,91,504,9,526.32
Product_541,84,955,3,586.33
Product_542,24,734,21,138.19
Product_543,12,450,26,66.96
Product_544,50,971,8,289.72
Product_545,35,525,48,235.44
Product_546,33,751,2,207.77
Product_547,33,683,6,291.49
Product_548,61,607,28,146.15
Product_549,51,625,53,441.99
Product_550,43,179,29,376.31
Product_551,12,871,26,51.35
Product_552,67,412,25,382.09
Product_553,65,754,12,358.04
Product_554,33,868,5,123.69
Product_555,40,742,34,206.97
Product_556,74,341,48,174.28
Product_557,43,420,37,181.57
Product_558,44,843,15,375.47
Product_559,29,78,44,124.02
Product_560,13,198,36,111.09
Product_561,12,828,15,75.03
Product_562,95,345,43,858.7
Product_563,46,60,48,303.52
Product_564,2,561,23,4.47
Product_565,35,725,6,259.12
Product_566,87,162,46,205.22
Product_567,81,236,50,453.99
Product_568,90,856,44,849.19
Product_569,8,793,59,26.57
Product_570,93,276,43,476.07
Product_571,26,359,45,203.81
Product_572,74,147,21,670.3
Product_573,90,104,23,663.08
Product_574,34,672,43,138.22
Product_575,7,713,55,51.78
Product_576,68,807,16,297.42
Product_577,58,455,47,449.35
Product_578,75,118,53,722.42
Product_579,29,361,15,225.36
Product_580,36,338,25,320.51
Product_581,89,811,36,179.5
Product_582,21,597,11,162.55
Product_583,36,800,51,310.92
Product_584,10,197,15,23.24
Product_585,73,516,4,655.01
Product_586,24,788,21,97.29
Product_587,64,293,13,468.63
Product_588,99,540,22,831.88
Product_589,49,898,19,357.76
Product_590,99,556,34,271.09
Product_591,36,414,14,243.74
Product_592,82,531,4,524.53
Product_593,96,250,48,883.45
Product_594,24,203,53,125.61
Product_595,23,499,52,105.08
Product_596,62,550,46,495.93
Product_597,96,122,27,508.93
Product_598,37,762,29,265.24
Product_599,12,345,47,86.06
Product_600,55,66,28,500.74
Product_601,13,690,35,88.26
Product_602,23,266,8,138.4
Product_603,89,110,16,276.88
Product_604,99,988,42,289.66
Product_605,30,665,36,97.04
Product_606,17,91,30,57.37
Product_607,62,74,18,440.39
Product_608,84,88,2,665.94
Product_609,89,852,49,555.35
Product_610,86,180,13,742.36
Product_611,13,547,4,129.09
Product_612,59,278,26,505.05
Product_613,19,157,25,143.62
Product_614,49,221,30,306.74
Product_615,12,484,11,67.09
Product_616,61,527,7,163.18
Product_617,19,151,31,98.7
Product_618,76,915,44,705.36
Product_619,9,573,10,76.18
Product_620,71,324,39,264.72
Product_621,28,662,13,160.52
Product_622,78,93,31,665.64
Product_623,95,866,7,241.21
Product_624,52,66,56,265.16
Product_625,83,379,49,731.62
Product_626,16,618,42,83.7
Product_627,69,872,42,180.84
Product_628,99,546,56,627.69
Product_629,12,864,36,106.73
Product_630,25,61,20,168.06
Product_631,52,367,4,198.13
Product_632,85,641,54,431.28
Product_633,53,265,7,296.85
Product_634,23,388,54,152.59
Product_635,16,825,1,129.2
Product_636,57,710,44,159.09
Product_637,39,130,56,355.57
Product_638,53,776,45,111.22
Product_639,42,534,42,208.34
Product_640,58,423,47,128.72
Product_641,39,759,59,200.61
Product_642,14,249,13,86.89
Product_643,95,586,55,578.88
Product_644,5,515,22,16.63
Product_645,35,138,54,250.81
Product_646,87,317,21,205.17
Product_647,93,704,22,752.86
Product_648,75,620,28,717.99
Product_649,18,971,9,84.93
Product_650,76,538,26,466.48
Product_651,9,926,9,45.28
Product_652,74,587,15,151.97
Product_653,58,96,10,295.05
Product_654,17,337,24,141.67
Product_655,7,827,58,47.38
Product_656,46,65,57,129.26
Product_657,13,760,42,114.1
Product_658,40,450,8,249.95
Product_659,42,968,24,366.82
Product_660,9,843,16,59.78
Product_661,50,135,49,323.88
Product_662,27,299,26,76.74
Product_663,66,440,27,220.37
Product_664,5,831,37,48.88
Product_665,29,384,4,111.01
Product_666,37,678,50,363.33
Product_667,38,568,24,237.7
Product_668,83,186,19,256.16
Product_669,8,932,36,22.36
Product_670,65,737,39,238.61
Product_671,86,889,10,808.84
Product_672,17,547,25,90.32
Product_673,71,876,18,366.61
Product_674,89,776,19,401.0
Product_675,45,526,36,142.94
Product_676,4,643,10,23.61
Product_677,36,272,33,109.45
Product_678,70,421,55,607.87
Product_679,31,984,50,153.86
Product_680,19,451,5,94.97
Product_681,61,492,47,353.32
Product_682,54,539,49,299.86
Product_683,39,664,35,388.4
Product_684,91,322,44,579.04
Product_685,74,575,34,200.22
Product_686,90,208,33,616.95
Product_687,19,201,55,61.04
Product_688,39,669,21,87.65
Product_689,67,237,17,654.32
Product_690,45,862,22,368.47
Product_691,13,147,48,127.93
Product_692,92,180,37,535.72
Product_693,58,854,15,362.97
Product_694,20,220,35,66.93
Product_695,92,985,28,365.72
Product_696,72,232,7,627.0
Product_697,61,413,32,295.82
Product_698,39,88,11,335.97
Product_699,1,576,10,7.67
Product_700,3,937,9,10.25
Product_701,77,546,14,466.59
Product_702,92,565,13,682.56
Product_703,62,398,57,240.58
Product_704,63,970,25,544.67
Product_705,25,446,2,158.97
Product_706,56,771,35,186.03
Product_707,33,210,7,219.91
Product_708,38,65,21,379.91
Product_709,6,542,18,19.23
Product_710,58,475,3,494.98
Product_711,44,157,42,160.97
Product_712,45,943,54,371.66
Product_713,32,499,39,252.05
Product_714,45,360,41,198.18
Product_715,61,788,49,281.0
Product_716,47,219,11,391.99
Product_717,21,595,39,119.52
Product_718,80,463,24,627.72
Product_719,85,300,46,270.63
Product_720,75,808,19,661.53
Product_721,36,830,4,276.73
Product_722,99,190,26,916.3
Product_723,19,323,38,58.12
Product_724,20,465,42,134.88
Product_725,57,657,32,387.2
Product_726,18,788,39,86.9
Product_727,47,940,45,266.38
Product_728,49,88,46,112.89
Product_729,14,863,36,111.54
Product_730,15,78,40,95.92
Product_731,31,526,37,76.32
Product_732,1,367,33,7.45
Product_733,54,294,36,309.65
Product_734,3,797,3,6.83
Product_735,16,746,9,156.11
Product_736,87,321,8,834.58
Product_737,57,489,33,347.88
Product_738,75,797,59,206.2
Product_739,12,288,6,96.44
Product_740,74,426,41,439.22
Product_741,96,315,39,424.28
Product_742,16,975,4,94.9
Product_743,72,970,13,444.93
Product_744,76,408,49,494.13
Product_745,24,389,2,132.71
Product_746,28,438,5,191.69
Product_747,8,626,44,74.8
Product_748,92,738,27,450.63
Product_749,36,52,32,281.01
Product_750,90,478,21,824.01
Product_751,8,191,8,45.18
Product_752,58,425,38,321.76
Product_753,60,719,8,409.02
Product_754,50,373,50,336.56
Product_755,28,195,3,236.68
Product_756,92,342,54,534.69
Product_757,41,714,44,408.73
Product_758,64,481,58,158.45
Product_759,27,754,3,54.68
Product_760,63,998,22,448.66
Product_761,17,634,6,74.59
Product_762,73,448,2,286.38
Product_763,33,866,23,148.34
Product_764,84,938,44,340.06
Product_765,77,393,2,172.97
Product_766,92,189,38,899.05
Product_767,29,236,17,109.21
Product_768,13,854,35,102.34
Product_769,46,110,34,372.64
Product_770,35,988,23,330.19
Product_771,6,429,30,13.47
Product_772,82,759,52,736.06
Product_773,69,856,8,429.03
Product_774,47,489,22,331.84
Product_775,25,368,44,178.89
Product_776,66,351,58,564.85
Product_777,10,393,36,46.67
Product_778,56,60,5,440.41
Product_779,30,111,13,186.86
Product_780,5,894,29,41.74
Product_781,33,275,31,327.5
Product_782,65,202,47,234.34
Product_783,18,760,57,179.23
Product_784,96,613,55,260.98
Product_785,49,821,16,98.91
Product_786,11,620,42,25.89
Product_787,85,633,30,402.41
Product_788,26,709,57,183.64
Product_789,63,910,55,160.79
Product_790,89,624,16,182.03
Product_791,86,359,12,816.72
Product_792,59,934,17,505.95
Product_793,27,292,16,228.78
Product_794,49,542,12,444.69
Product_795,77,415,8,585.22
Product_796,33,379,20,93.56
Product_797,98,156,3,508.89
Product_798,99,275,16,770.73
Product_799,1,874,30,4.24
Product_800,21,267,45,157.48
Product_801,55,986,23,120.78
Product_802,6,802,28,26.69
Product_803,92,555,51,588.16
Product_804,81,308,40,571.59
Product_805,69,937,54,456.53
Product_806,95,823,5,720.29
Product_807,5,566,20,10.24
Product_808,3,822,40,8.42
Product_809,53,103,56,474.43
Product_810,23,96,44,171.44
Product_811,53,776,1,153.88
Product_812,37,738,57,323.25
Product_813,74,570,30,291.4
Product_814,74,148,21,431.13
Product_815,83,69,20,262.41
Product_816,17,939,6,130.57
Product_817,85,802,22,623.46
Product_818,78,622,18,287.73
Product_819,73,940,8,650.23
Product_820,1,539,39,5.21
Product_821,51,468,32,221.35
Product_822,45,739,33,144.84
Product_823,77,899,53,317.96
Product_824,4,111,16,8.7
Product_825,62,194,12,413.3
Product_826,65,265,38,567.96
Product_827,32,52,52,204.54
Product_828,34,209,34,127.64
Product_829,92,788,14,208.78
Product_830,95,830,36,353.12
Product_831,72,169,33,383.69
Product_832,39,942,23,315.0
Product_833,26,138,50,91.07
Product_834,34,378,45,263.78
Product_835,54,629,2,482.52
Product_836,3,959,41,16.89
Product_837,50,406,21,428.57
Product_838,12,659,2,77.25
Product_839,65,316,27,461.29
Product_840,54,666,57,335.35
Product_841,5,372,9,28.53
Product_842,94,684,1,364.46
Product_843,94,590,11,416.0
Product_844,57,698,3,246.23
Product_845,17,244,52,110.61
Product_846,47,970,23,139.1
Product_847,23,787,26,214.69
Product_848,79,381,4,613.45
Product_849,85,219,18,442.98
Product_850,14,570,55,45.77
Product_851,66,512,6,597.69
Product_852,75,89,35,644.27
Product_853,51,586,22,396.46
Product_854,38,310,43,158.55
Product_855,64,444,15,334.05
Product_856,98,275,22,276.55
Product_857,38,173,37,133.47
Product_858,50,87,52,413.21
Product_859,98,377,42,756.59
Product_860,82,300,12,553.33
Product_861,30,950,47,274.97
Product_862,79,225,49,526.62
Product_863,91,651,42,521.95
Product_864,51,963,38,240.87
Product_865,63,503,18,599.99
Product_866,98,86,45,260.85
Product_867,52,365,35,491.25
Product_868,38,737,30,327.32
Product_869,97,845,24,294.83
Product_870,88,642,42,573.75
Product_871,79,163,30,705.66
Product_872,30,89,14,197.23
Product_873,51,350,6,472.14
Product_874,81,273,3,773.05
Product_875,5,367,16,26.9
Product_876,29,398,7,145.54
Product_877,4,164,52,37.96
Product_878,10,747,14,74.01
Product_879,56,372,9,163.98
Product_880,17,617,15,39.75
Product_881,74,89,21,482.26
Product_882,17,915,35,160.5
Product_883,84,89,2,735.34
Product_884,88,908,27,651.8
Product_885,69,798,2,214.79
Product_886,34,338,35,137.15
Product_887,6,311,18,54.02
Product_888,53,265,14,183.51
Product_889,66,196,20,279.02
Product_890,77,385,18,233.83
Product_891,43,217,10,318.58
Product_892,75,141,25,716.39
Product_893,23,402,2,95.49
Product_894,55,620,25,319.18
Product_895,80,620,54,565.98
Product_896,95,865,33,949.59
Product_897,75,730,36,212.88
Product_898,16,830,31,95.82
Product_899,8,412,14,40.65
Product_900,4,606,1,35.71
Product_901,4,394,46,23.23
Product_902,56,742,16,161.72
Product_903,25,219,54,176.88
Product_904,67,405,46,547.14
Product_905,96,240,52,194.21
Product_906,67,716,3,594.4
Product_907,27,471,35,94.18
Product_908,93,749,41,596.74
Product_909,32,56,6,170.44
Product_910,50,182,25,387.86
Product_911,61,796,13,303.13
Product_912,51,606,53,456.86
Product_913,19,875,34,149.04
Product_914,21,810,8,150.82
Product_915,5,80,21,41.85
Product_916,82,584,34,658.64
Product_917,92,475,4,210.45
Product_918,42,443,25,216.63
Product_919,61,721,15,576.23
Product_920,22,412,4,66.13
Product_921,21,486,45,165.83
Product_922,70,719,12,685.77
Product_923,1,600,32,2.42
Product_924,5,976,32,37.29
Product_925,12,131,28,68.94
Product_926,90,405,13,597.01
Product_927,46,307,31,123.41
Product_928,34,767,14,79.7
Product_929,49,638,20,359.41
Product_930,78,573,18,669.75
